year,level_1,value
1960,"Doctors Per 10,000 Total Population",4
1960,"Dentists Per 10,000 Total Population",2
1960,"Nurses Per 10,000 Total Population",na
1961,"Doctors Per 10,000 Total Population",4
1961,"Dentists Per 10,000 Total Population",2
1961,"Nurses Per 10,000 Total Population",na
1962,"Doctors Per 10,000 Total Population",4
1962,"Dentists Per 10,000 Total Population",2
1962,"Nurses Per 10,000 Total Population",na
1963,"Doctors Per 10,000 Total Population",4
1963,"Dentists Per 10,000 Total Population",2
1963,"Nurses Per 10,000 Total Population",na
1964,"Doctors Per 10,000 Total Population",5
1964,"Dentists Per 10,000 Total Population",2
1964,"Nurses Per 10,000 Total Population",na
1965,"Doctors Per 10,000 Total Population",5
1965,"Dentists Per 10,000 Total Population",2
1965,"Nurses Per 10,000 Total Population",na
1966,"Doctors Per 10,000 Total Population",5
1966,"Dentists Per 10,000 Total Population",2
1966,"Nurses Per 10,000 Total Population",na
1967,"Doctors Per 10,000 Total Population",6
1967,"Dentists Per 10,000 Total Population",2
1967,"Nurses Per 10,000 Total Population",na
1968,"Doctors Per 10,000 Total Population",6
1968,"Dentists Per 10,000 Total Population",2
1968,"Nurses Per 10,000 Total Population",na
1969,"Doctors Per 10,000 Total Population",7
1969,"Dentists Per 10,000 Total Population",2
1969,"Nurses Per 10,000 Total Population",na
1970,"Doctors Per 10,000 Total Population",7
1970,"Dentists Per 10,000 Total Population",2
1970,"Nurses Per 10,000 Total Population",na
1971,"Doctors Per 10,000 Total Population",7
1971,"Dentists Per 10,000 Total Population",2
1971,"Nurses Per 10,000 Total Population",na
1972,"Doctors Per 10,000 Total Population",7
1972,"Dentists Per 10,000 Total Population",2
1972,"Nurses Per 10,000 Total Population",na
1973,"Doctors Per 10,000 Total Population",7
1973,"Dentists Per 10,000 Total Population",2
1973,"Nurses Per 10,000 Total Population",na
1974,"Doctors Per 10,000 Total Population",7
1974,"Dentists Per 10,000 Total Population",1
1974,"Nurses Per 10,000 Total Population",26
1975,"Doctors Per 10,000 Total Population",7
1975,"Dentists Per 10,000 Total Population",1
1975,"Nurses Per 10,000 Total Population",25
1976,"Doctors Per 10,000 Total Population",7
1976,"Dentists Per 10,000 Total Population",1
1976,"Nurses Per 10,000 Total Population",26
1977,"Doctors Per 10,000 Total Population",8
1977,"Dentists Per 10,000 Total Population",1
1977,"Nurses Per 10,000 Total Population",29
1978,"Doctors Per 10,000 Total Population",8
1978,"Dentists Per 10,000 Total Population",1
1978,"Nurses Per 10,000 Total Population",30
1979,"Doctors Per 10,000 Total Population",8
1979,"Dentists Per 10,000 Total Population",1
1979,"Nurses Per 10,000 Total Population",31
1980,"Doctors Per 10,000 Total Population",8
1980,"Dentists Per 10,000 Total Population",1
1980,"Nurses Per 10,000 Total Population",31
1981,"Doctors Per 10,000 Total Population",8
1981,"Dentists Per 10,000 Total Population",1
1981,"Nurses Per 10,000 Total Population",30
1982,"Doctors Per 10,000 Total Population",8
1982,"Dentists Per 10,000 Total Population",2
1982,"Nurses Per 10,000 Total Population",28
1983,"Doctors Per 10,000 Total Population",9
1983,"Dentists Per 10,000 Total Population",2
1983,"Nurses Per 10,000 Total Population",29
1984,"Doctors Per 10,000 Total Population",9
1984,"Dentists Per 10,000 Total Population",2
1984,"Nurses Per 10,000 Total Population",29
1985,"Doctors Per 10,000 Total Population",10
1985,"Dentists Per 10,000 Total Population",2
1985,"Nurses Per 10,000 Total Population",33
1986,"Doctors Per 10,000 Total Population",10
1986,"Dentists Per 10,000 Total Population",2
1986,"Nurses Per 10,000 Total Population",34
1987,"Doctors Per 10,000 Total Population",11
1987,"Dentists Per 10,000 Total Population",2
1987,"Nurses Per 10,000 Total Population",34
1988,"Doctors Per 10,000 Total Population",11
1988,"Dentists Per 10,000 Total Population",2
1988,"Nurses Per 10,000 Total Population",33
1989,"Doctors Per 10,000 Total Population",12
1989,"Dentists Per 10,000 Total Population",2
1989,"Nurses Per 10,000 Total Population",33
1990,"Doctors Per 10,000 Total Population",12
1990,"Dentists Per 10,000 Total Population",2
1990,"Nurses Per 10,000 Total Population",34
1991,"Doctors Per 10,000 Total Population",12
1991,"Dentists Per 10,000 Total Population",2
1991,"Nurses Per 10,000 Total Population",34
1992,"Doctors Per 10,000 Total Population",12
1992,"Dentists Per 10,000 Total Population",2
1992,"Nurses Per 10,000 Total Population",35
1993,"Doctors Per 10,000 Total Population",13
1993,"Dentists Per 10,000 Total Population",2
1993,"Nurses Per 10,000 Total Population",35
1994,"Doctors Per 10,000 Total Population",13
1994,"Dentists Per 10,000 Total Population",2
1994,"Nurses Per 10,000 Total Population",36
1995,"Doctors Per 10,000 Total Population",13
1995,"Dentists Per 10,000 Total Population",2
1995,"Nurses Per 10,000 Total Population",36
1996,"Doctors Per 10,000 Total Population",13
1996,"Dentists Per 10,000 Total Population",2
1996,"Nurses Per 10,000 Total Population",37
1997,"Doctors Per 10,000 Total Population",13
1997,"Dentists Per 10,000 Total Population",2
1997,"Nurses Per 10,000 Total Population",39
1998,"Doctors Per 10,000 Total Population",13
1998,"Dentists Per 10,000 Total Population",2
1998,"Nurses Per 10,000 Total Population",40
1999,"Doctors Per 10,000 Total Population",13
1999,"Dentists Per 10,000 Total Population",2
1999,"Nurses Per 10,000 Total Population",40
